Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/25/2022 11 p.m. PDT,2076,-1,19441,852,61,8533,9998,1139
NW,5/26/2022 12 a.m. PDT,1977,-3,18030,872,61,7714,9936,1141
NW,5/26/2022 1 a.m. PDT,1963,-2,17912,877,60,7249,9911,1143
NW,5/26/2022 2 a.m. PDT,1904,-1,17474,893,59,6888,9884,1149
NW,5/26/2022 3 a.m. PDT,1915,-1,17405,896,60,6720,9846,1148
NW,5/26/2022 4 a.m. PDT,2307,-2,17361,912,61,6357,9830,1149
NW,5/26/2022 5 a.m. PDT,2618,1,17767,888,62,6206,9631,1151
NW,5/26/2022 6 a.m. PDT,2750,363,18909,855,61,6378,9513,1152
NW,5/26/2022 7 a.m. PDT,2392,2355,19715,855,59,5950,9275,1151
NW,5/26/2022 8 a.m. PDT,1893,4335,20264,852,58,5541,9625,1149
NW,5/26/2022 9 a.m. PDT,1928,4961,19885,831,58,5438,9573,1146
NW,5/26/2022 10 a.m. PDT,1961,5081,19501,847,59,5407,9593,1143
NW,5/26/2022 11 a.m. PDT,2199,5115,18978,849,58,5731,9752,1143
NW,5/26/2022 12 p.m. PDT,2173,5095,18684,792,58,6213,9779,1143
NW,5/26/2022 1 p.m. PDT,2095,5077,18729,833,58,6725,9724,1144
NW,5/26/2022 2 p.m. PDT,2041,4954,19006,888,58,7247,9911,1143
NW,5/26/2022 3 p.m. PDT,2085,4759,18945,864,57,8004,10150,1143
NW,5/26/2022 4 p.m. PDT,2312,4479,18803,856,56,8994,10415,1144
NW,5/26/2022 5 p.m. PDT,2403,4046,19180,894,57,9472,10417,1145
NW,5/26/2022 6 p.m. PDT,2996,3049,20065,916,57,9968,10387,1146
NW,5/26/2022 7 p.m. PDT,3445,1270,20052,911,58,10621,10384,1146
NW,5/26/2022 8 p.m. PDT,4771,165,19888,908,61,10306,10381,1146
NW,5/26/2022 9 p.m. PDT,5788,21,19765,852,61,9115,10399,1145
NW,5/26/2022 10 p.m. PDT,6151,-6,20517,822,62,8010,10034,1139
NW,5/26/2022 11 p.m. PDT,5900,0,19247,850,60,7739,9416,1138
NW,5/27/2022 12 a.m. PDT,6238,-2,18225,882,62,6533,9275,1142
NW,5/27/2022 1 a.m. PDT,6464,-1,17451,862,60,6222,9207,1146
NW,5/27/2022 2 a.m. PDT,5337,-4,16494,874,61,6090,9368,1142
NW,5/27/2022 3 a.m. PDT,5165,-4,16466,947,60,5893,9335,1144
NW,5/27/2022 4 a.m. PDT,5290,-1,16235,983,61,5587,9259,1144
NW,5/27/2022 5 a.m. PDT,5543,3,16707,998,61,5684,9192,1145
NW,5/27/2022 6 a.m. PDT,5419,244,17167,998,60,5773,9335,1145
NW,5/27/2022 7 a.m. PDT,4973,1311,17891,1002,59,5745,9215,1145
NW,5/27/2022 8 a.m. PDT,4734,3145,18467,989,59,5439,9175,1146
NW,5/27/2022 9 a.m. PDT,5426,4300,17864,979,56,5273,9297,1146
NW,5/27/2022 10 a.m. PDT,6625,4602,17578,961,58,5058,8991,1144
NW,5/27/2022 11 a.m. PDT,7631,4695,17353,918,60,5227,9141,1146
NW,5/27/2022 12 p.m. PDT,8056,4780,16797,854,58,6136,8346,1149
NW,5/27/2022 1 p.m. PDT,8213,4677,16993,843,57,6930,7747,1148
NW,5/27/2022 2 p.m. PDT,8450,4152,16837,843,59,7485,7590,1148
NW,5/27/2022 3 p.m. PDT,8791,3781,17220,859,59,7393,7852,1145
NW,5/27/2022 4 p.m. PDT,8890,3204,17443,929,60,7910,8672,1144
NW,5/27/2022 5 p.m. PDT,9095,2385,17117,861,59,8030,9287,1145
NW,5/27/2022 6 p.m. PDT,7752,1229,18183,829,60,8861,9566,1147
NW,5/27/2022 7 p.m. PDT,7005,514,18203,847,59,9557,9903,1147
NW,5/27/2022 8 p.m. PDT,6564,129,17861,885,60,9497,9966,1146
NW,5/27/2022 9 p.m. PDT,6570,1,17936,872,59,9120,9919,1149
NW,5/27/2022 10 p.m. PDT,6520,-2,18109,873,59,8767,9818,1151
